"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","gigiot-22",,,,"User:","root"
"Cmdline:","dstat --noheaders -D mmcblk0,mmcblk1,sda,sdb -f --output=gigiot.csv 1 30",,,,"Date:","04 Mar 2018 11:28:40 PST"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"dsk/mmcblk0",,"dsk/mmcblk1",,"dsk/sda",,"dsk/sdb",,"net/enp3s0",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","read","writ","read","writ","recv","send","in","out","int","csw"
2.162,2.031,92.609,2.918,0.0,0.281,2.871,1.831,91.802,3.224,0.0,0.272,2.196,1.706,93.771,2.052,0.0,0.275,2.892,1.821,92.973,2.043,0.0,0.271,30896.386,97219.619,75.901,21.111,1054572.537,664936.709,686602.093,646399.328,0.0,0.0,0.0,0.0,3910.103,3280.387,
2.041,5.102,71.429,21.429,0.0,0.0,4.124,5.155,39.175,51.546,0.0,0.0,2.062,4.124,80.412,12.371,0.0,1.031,6.061,7.071,73.737,11.111,0.0,2.020,49152.0,403456.0,0.0,0.0,0.0,21168128.0,0.0,9523200.0,22842520.0,71458.0,0.0,0.0,4990.0,6579.0,
1.010,1.010,0.0,96.970,0.0,1.010,0.0,0.0,98.980,1.020,0.0,0.0,2.020,3.030,93.939,0.0,0.0,1.010,1.031,6.186,92.784,0.0,0.0,0.0,0.0,515072.0,4608.0,0.0,0.0,0.0,0.0,12951552.0,26782409.0,67464.0,0.0,0.0,3877.0,4240.0,
0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.020,92.857,6.122,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,4608.0,0.0,0.0,0.0,0.0,0.0,5459968.0,8274.0,8906.0,0.0,0.0,1631.0,2146.0,
6.061,1.010,0.0,92.929,0.0,0.0,3.0,2.0,0.0,95.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,2.020,1.010,93.939,3.030,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,0.0,0.0,19356.0,11074.0,0.0,0.0,1936.0,2422.0,
0.990,0.990,0.0,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,26112.0,0.0,0.0,0.0,0.0,0.0,0.0,9860.0,16830.0,0.0,0.0,1322.0,1563.0,
1.031,6.186,61.856,30.928,0.0,0.0,2.020,7.071,78.788,11.111,0.0,1.010,1.042,5.208,31.250,61.458,0.0,1.042,1.020,4.082,93.878,0.0,0.0,1.020,0.0,0.0,0.0,0.0,0.0,24301568.0,0.0,9039872.0,36523538.0,95106.0,0.0,0.0,5447.0,6569.0,
0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,98.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13754368.0,1572296.0,9500.0,0.0,0.0,2082.0,2631.0,
2.083,8.333,79.167,9.375,0.0,1.042,2.062,7.216,83.505,6.186,0.0,1.031,1.042,3.125,16.667,79.167,0.0,0.0,1.053,3.158,95.789,0.0,0.0,0.0,16384.0,239616.0,0.0,0.0,0.0,19058688.0,0.0,12337152.0,45379700.0,120938.0,0.0,0.0,5956.0,7204.0,
0.0,1.020,98.980,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,0.0,7405568.0,3257770.0,12349.0,0.0,0.0,2286.0,2681.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.990,57.426,40.594,0.0,0.0,1.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25088.0,0.0,0.0,0.0,0.0,0.0,0.0,10366.0,17516.0,0.0,0.0,1395.0,1698.0,
1.961,1.961,96.078,0.0,0.0,0.0,3.0,1.0,0.0,96.0,0.0,0.0,3.030,0.0,0.0,95.960,0.0,1.010,2.0,1.0,95.0,1.0,0.0,1.0,0.0,62464.0,0.0,0.0,0.0,0.0,0.0,0.0,23246.0,24398.0,0.0,0.0,1998.0,2271.0,
1.031,5.155,68.041,25.773,0.0,0.0,2.105,5.263,42.105,50.526,0.0,0.0,0.0,3.125,44.792,52.083,0.0,0.0,1.031,5.155,93.814,0.0,0.0,0.0,0.0,0.0,4608.0,0.0,0.0,25518080.0,8192.0,6496256.0,29664939.0,87733.0,0.0,0.0,4644.0,5777.0,
